timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:41:55,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:56,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:56,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:57,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:57,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:58,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:58,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:59,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:59,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:00,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:00,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:01,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:01,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:02,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:02,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:03,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:03,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:04,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:04,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:05,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:05,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:06,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:06,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:07,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:07,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:08,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:42:08,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:42:08,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:08,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:09,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:42:09,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:42:09,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:09,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:10,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:42:10,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:42:10,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:10,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:11,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:42:11,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
2026-06-18 15:42:11,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:42:11,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:42:12,B,RECV_DATA,2000,IN,A,B,maquinainexistente,4188974130,tchau,,
2026-06-18 15:42:12,B,ACK,2000,OUT,A,B,ACK,4188974130,tchau,192.168.0.218,6001
